sampling_location,duplicate_sample,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,bottom_sample_depth_ft,top_salinity_psu,bottom_salinity_psu,top_conductivity_s_m,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,percentage_o2_saturation_bottom_sample,light_trans_transparency_top_sample,light_trans_transparency_bottom_sample,top_sigma_t_kg_m3,bottom_sigma_t_kg_m3,top_fluorometer_mg_m3,bottom_fluorometer_mg_m3,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_par_ue_s_m2,bottom_sample_par_ue_s_ue_s_m2,oxidation_reduction_potential_mv_top_sample,oxidation_reduction_potential_mv_bottom_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,winkler_method_bottom_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,bottom_ph,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,top_fecal_coliform_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,top_enterococci_bacteria_cells_100ml,bottom_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,bottom_nitrate_nitrite_mg_l,top_ammonium_mg_l,bottom_ammonium_mg_l,top_ortho_phosphorus_mg_l,bottom_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,bottom_silica_mg_l,total_phosphorus_mg_l,bottom_total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,bottom_active_chlorophyll_a_g_l,chlorophyll_top_sample_field_u_l_ysi,chlorophyll_bottom_sample_field_u_l_ysi,top_total_organic_carbon_mg_l,top_dissolved_organic_carbon_mg_l,bottom_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,top_sample_salinity_ysi_psu,bottom_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_beam_attenuation_coefficient,bottom_beam_attenuation_coefficient,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,top_coliform_log_no_ml,bottom_coliform_log_no_ml,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,oakwood_total_suspended_solid_top_sample_mg_l,oakwood_total_suspended_solid_bottom_sample_mg_l,top_turbidity_nephelometric_turbidity_units,bottom_turbidity_ysi_nephelometric_turbidity_units,sampling_comment,long,lat,type
NC3,,2021-06-30T00:00:00.000,11:04 AM,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,1.5,E,12.00,SW,1,,,,7.46,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,1.61,,,,5.15,4.74,,,26.70,26.90,27.09,26.58,,,,,,,,,,,,,,,7.59,24.01,,-73.94617,"40.73717,",Provisional
N3C,,2021-06-30T00:00:00.000,11:43 AM,D,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,0.9,N,14.00,SW,1,,,,7.63,,,,,,24,,,,3,,,,,,,,,,,,,,,,,,1.11,,,,,6.25,,,,13.75,,28.32,,,,,,,,,,,,,,,,5.50,,,-73.9815,"40.79317,",Provisional
BR3,,2021-07-06T00:00:00.000,10:04 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,,,,,,236,,E,,30,,,,,,,,,,,,,,,,,,258.33,,,,,1.81,,,,25.81,,19.96,,,,,,,,,,,,,,,,4.21,,No depth reading on YSI,-73.8848,"40.82537,",Provisional
WC1,,2021-07-06T00:00:00.000,10:02 AM,D,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.00,S,1,,,,7.32,,,,,,330,,E,,76,,,,,,,,,,,,,,,,,,2.19,,,,,4.18,,,,27.89,,25.91,,,,,,,,,,,,,,,,1.11,,,-73.84228,"40.82775,",Provisional
E7,,2021-07-06T00:00:00.000,11:10 AM,D,,,74.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,WNW,10.00,SW,1,,,,7.59,,,,,,70,,,,2,,,,,,,,,,,,,,,,,,1.57,,,,,5.14,,,,27.78,,24.06,,,,,,,,,,,,,,,,1.73,,,-73.8205,"40.805,",Provisional
AC1,,2021-07-06T00:00:00.000,11:32 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06,,,,,,299,,E,,40,,,,,,,,,,,,,,,,,,18.72,,,,,3.15,,,,26.05,,21.13,,,,,,,,,,,,,,,,3.98,,No depth reading on YSI,-73.75175,"40.76317,",Provisional
E12,,2021-07-06T00:00:00.000,10:45 AM,D,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.00,SW,1,,,,7.92,,,,E,,12,,<,,10,,,,,,,,,,,,,,,,,,8.38,,,,,7.45,,,,29.05,,26.19,,,,,,,,,,,,,,,,3.11,,,-73.80945,"40.85444,",Provisional
E8,,2021-07-06T00:00:00.000,10:59 AM,D,,,113.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,WNW,10.00,SW,1,,,,7.69,,,,,,92,,,,1,,,,,,,,,,,,,,,,,,2.51,,,,,5.96,,,,28.74,,24.34,,,,,,,,,,,,,,,,1.13,,,-73.8205,"40.805,",Provisional
BR1,,2021-07-06T00:00:00.000,10:41 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,,,,,,2100,,,,480,,,,,,,,,,,,,,,,,,0.78,,,,,6.03,,,,0.47,,21.75,,,,,,,,,,,,,,,,0.18,,No depth reading on YSI,-73.86271,"40.89314,",Provisional
E6,,2021-07-06T00:00:00.000,11:22 AM,D,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,WNW,10.00,SW,1,,,,7.45,,,,,,86,,,,1,,,,,,,,,,,,,,,,,,0.94,,,,,4.73,,,,27.56,,24.66,,,,,,,,,,,,,,,,2.91,,,-73.86083,"40.7855,",Provisional
E13,D,2021-07-06T00:00:00.000,10:21 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,E,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.84111,"40.80611,",Provisional
WC2,,2021-07-06T00:00:00.000,9:49 AM,D,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,N,5.00,S,1,,,,7.36,,,,,,220,,E,,20,,,,,,,,,,,,,,,,,,7.93,,,,,3.99,,,,27.12,,26.48,,,,,,,,,,,,,,,,7.29,,,-73.83984,"40.83888,",Provisional
WC3,,2021-07-06T00:00:00.000,10:11 AM,D,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.00,SW,1,,,,7.49,,,,,,120,,<,,4,,,,,,,,,,,,,,,,,,1.46,,,,,5.17,,,,28.04,,24.45,,,,,,,,,,,,,,,,3.70,,,-73.84319,"40.81507,",Provisional
E13,,2021-07-06T00:00:00.000,10:21 AM,D,,,16.50,,,,,,,,,,,,,,,,,,,,,,,,1.5,W,5.00,SW,1,,,,7.46,,,,,,84,,<,,2,,,,,,,,,,,,,,,,,,1.10,,,,,4.87,,,,28.23,,24.16,,,,,,,,,,,,,,,,2.17,,,-73.84111,"40.80611,",Provisional
N8,,2021-07-07T00:00:00.000,11:28 AM,W,,,92.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,S,5.00,SW,1,,,,7.75,,,,,,780,,E,,16,,,,,,,,,,,,,,,,,,1.76,,,,,6.43,,,,25.77,,26.12,,,,,,,,,,,,,,,,1.37,,,-74.0455,"40.60617,",Provisional
NC0,,2021-07-07T00:00:00.000,9:45 AM,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.00,SW,1,,,,7.00,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,2.78,,,,2.32,0.88,,,25.62,26.41,26.71,25.67,,,,,,,,,,,,,,,3.31,3.42,Aeration off,-73.93156,"40.71496,",Provisional
NC0A,,2021-07-07T00:00:00.000,9:55 AM,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.00,SW,1,,,,7.54,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81,3.48,,,,6.85,0.79,,,25.47,26.32,26.85,25.82,,,,,,,,,,,,,,,3.82,8.06,Aeration off,-73.924667,"40.718167,",Provisional
NC3,,2021-07-07T00:00:00.000,10:31 AM,,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.00,SW,1,,,,7.44,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,0.98,,,,5.21,4.19,,,25.24,26.44,26.33,25.34,,,,,,,,,,,,,,,4.30,5.70,,-73.94617,"40.73717,",Provisional
NC2,,2021-07-07T00:00:00.000,10:15 AM,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.00,SW,1,,,,7.58,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89,1.27,,,,6.05,0.32,,,25.64,26.06,26.61,25.97,,,,,,,,,,,,,,,4.81,48.89,,-73.9355,"40.72883,",Provisional
K5A,,2021-07-07T00:00:00.000,12:14 PM,W,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,NE,5.00,SW,1,,,,7.62,,,,,,250,,E,,8,,,,,,,,,,,,,,,,,,3.08,,,,,5.10,,,,27.02,,27.76,,,,,,,,,,,,,,,,1.54,,,-74.24583,"40.4845,",Provisional
N6,,2021-07-07T00:00:00.000,11:05 AM,W,,,54.00,,,,,,,,,,,,,,,,,,,,,,,,1.7,S,5.00,SW,1,,,,7.70,,,,,,260,,E,,18,,,,,,,,,,,,,,,,,,2.18,,,,,6.39,,,,24.16,,26.06,,,,,,,,,,,,,,,,2.56,,,-74.05133,"40.66467,",Provisional
K3,,2021-07-07T00:00:00.000,1:03 PM,W,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,SW,5.00,SW,1,,,,7.59,,,,,,10100,,,,480,,,,,,,,,,,,,,,,,,1.53,,,,,5.54,,,,24.55,,26.63,,,,,,,,,,,,,,,,2.72,,,-74.19583,"40.6375,",Provisional
N7,,2021-07-07T00:00:00.000,11:16 AM,W,,,52.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,S,5.00,SW,1,,,,7.81,,,,,,92,,E,,4,,,,,,,,,,,,,,,,,,3.01,,,,,7.08,,,,24.40,,26.54,,,,,,,,,,,,,,,,1.78,,,-74.05383,"40.64383,",Provisional
K5,,2021-07-07T00:00:00.000,12:27 PM,W,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,SW,5.00,SW,1,,,,7.56,,,,,,148,,E,,12,,,,,,,,,,,,,,,,,,2.26,,,,,5.53,,,,25.63,,27.81,,,,,,,,,,,,,,,,2.25,,,-74.25883,"40.50883,",Provisional
K5A,D,2021-07-07T00:00:00.000,12:27 PM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,E,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.24583,"40.4845,",Provisional
K2,,2021-07-07T00:00:00.000,1:17 PM,W,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,5.00,SW,1,,,,7.67,,,,E,,76,,E,,6,,,,,,,,,,,,,,,,,,2.25,,,,,6.28,,,,24.39,,27.86,,,,,,,,,,,,,,,,2.67,,,-74.153,"40.64117,",Provisional
K4,,2021-07-07T00:00:00.000,12:44 PM,W,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,W,5.00,SW,1,,,,7.54,,,,,,8500,,,,840,,,,,,,,,,,,,,,,,,2.72,,,,,5.85,,,,19.10,,28.06,,,,,,,,,,,,,,,,5.59,,,-74.21167,"40.567,",Provisional
K6,,2021-07-07T00:00:00.000,11:48 AM,W,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,5.00,SW,1,,,,8.57,,,,,,96,,E,,4,,,,,,,,,,,,,,,,,,10.28,,,,,12.90,,,,29.17,,28.94,,,,,,,,,,,,,,,,1.76,,,-74.10083,"40.51033,",Provisional
NC1,,2021-07-07T00:00:00.000,10:04 AM,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.00,SW,1,,,,7.60,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,1.85,,,,6.65,1.82,,,25.37,26.89,26.70,25.64,,,,,,,,,,,,,,,4.26,6.05,,-73.92704,"40.72455,",Provisional
K1,,2021-07-07T00:00:00.000,1:32 PM,W,,,55.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,5.00,SW,1,,,,7.74,,,,,,320,,E,,12,,,,,,,,,,,,,,,,,,1.73,,,,,6.34,,,,24.67,,26.51,,,,,,,,,,,,,,,,2.42,,,-73.813,"40.643,",Provisional
N4,,2021-07-08T00:00:00.000,11:02 AM,W,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,NS,11.00,NE,1,,,,7.73,,,,E,,68,,E,,8,,,,,,,,,,,,,,,,,,2.30,,,,,6.47,,,,19.46,,26.79,,,,,,,,,,,,,,,,3.64,,,-74.005833,"40.7645,",Provisional
TR2,,2021-07-08T00:00:00.000,10:41 AM,W,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,N,11.00,NE,1,,,,7.79,,,,E,,36,,E,,4,,,,,,,,,,,,,,,,,,2.83,,,,,7.10,,,,17.34,,27.52,,,,,,,,,,,,,,,,3.64,,,-73.97867,"40.79717,",Provisional
N1,,2021-07-08T00:00:00.000,10:15 AM,W,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,N,11.00,NE,1,,,,8.00,,,,E,,10,,<,,2,,,,,,,,,,,,,,,,,,3.40,,,,,7.90,,,,10.61,,28.76,,,,,,,,,,,,,,,,3.70,,,-73.91617,"40.9145,",Provisional
E4,,2021-07-08T00:00:00.000,9:25 AM,W,,,75.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,E,11.00,NE,1,,,,7.48,,,,E,,44,,E,,2,,,,,,,,,,,,,,,,,,0.74,,,,,5.01,,,,26.31,,25.62,,,,,,,,,,,,,,,,3.63,,,-73.922,"40.7825,",Provisional
N3C,,2021-07-08T00:00:00.000,10:46 AM,W,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,N,11.00,NE,1,,,,7.77,,,,E,,64,,E,,2,,,,,,,,,,,,,,,,,,2.75,,,,,7.04,,,,17.62,,27.53,,,,,,,,,,,,,,,,3.48,,,-73.9815,"40.79317,",Provisional
N5,,2021-07-08T00:00:00.000,11:20 AM,W,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,S,11.00,NE,1,,,,7.71,,,,E,,72,,E,,2,,,,,,,,,,,,,,,,,,2.15,,,,,6.38,,,,23.27,,26.50,,,,,,,,,,,,,,,,2.64,,,-74.03,"40.7045,",Provisional
H3,D,2021-07-08T00:00:00.000,9:46 AM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,56,,E,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.93383,"40.828,",Provisional
N3B,,2021-07-08T00:00:00.000,10:33 AM,W,,,63.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,N,11.00,NE,1,,,,7.94,,,,E,,32,,E,,4,,,,,,,,,,,,,,,,,,0.62,,,,,7.87,,,,14.60,,28.17,,,,,,,,,,,,,,,,2.70,,,-73.96533,"40.82083,",Provisional
E2,,2021-07-08T00:00:00.000,9:10 AM,W,,,52.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,E,11.00,NE,2,,,,7.60,,,,E,,30,,E,,2,,,,,,,,,,,,,,,,,,0.87,,,,,5.39,,,,26.51,,25.81,,,,,,,,,,,,,,,,3.24,,,-73.970300,"40.735700,",Provisional
TR1,,2021-07-08T00:00:00.000,10:50 AM,W,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,N,11.00,NE,1,,,,7.75,,,,,,136,,E,,6,,,,,,,,,,,,,,,,,,2.55,,,,,6.91,,,,17.96,,27.62,,,,,,,,,,,,,,,,3.17,,,-73.9875,"40.78583,",Provisional
H3,,2021-07-08T00:00:00.000,9:46 AM,W,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,N,11.00,NE,1,,,,7.73,,,,E,,44,,E,,10,,,,,,,,,,,,,,,,,,1.62,,,,,6.66,,,,13.33,,27.95,,,,,,,,,,,,,,,,6.61,,Salinity taken several times,-73.93383,"40.828,",Provisional
NC3,,2021-07-09T00:00:00.000,11:07 AM,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,N,13.00,NW,1,,,,7.17,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.34,,,,4.33,3.58,,,25.44,19.03,26.72,26.18,,,,,,,,,,,,,,,9.43,21.05,,-73.94617,"40.73717,",Provisional
TR2,D,2021-07-09T00:00:00.000,12:03 PM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97867,"40.79717,",Provisional
TR1,,2021-07-09T00:00:00.000,11:51 AM,W,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,S,13.00,NW,1,,,,7.82,,,,,,1800,,,,900,,,,,,,,,,,,,,,,,,2.67,,,,,6.87,,,,14.18,,27.61,,,,,,,,,,,,,,,,3.21,,,-73.9875,"40.78583,",Provisional
NC1,,2021-07-09T00:00:00.000,10:36 AM,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,N,13.00,NW,1,,,,7.21,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,1.25,,,,4.34,1.70,,,17.60,25.91,27.11,26.14,,,,,,,,,,,,,,,6.26,3.36,,-73.92704,"40.72455,",Provisional
NC0,,2021-07-09T00:00:00.000,10:21 AM,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,N,13.00,NW,1,,,,7.09,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,3.40,,,,4.21,4.19,,,17.07,20.91,27.48,27.43,,,,,,,,,,,,,,,7.33,5.93,Aeration on,-73.93156,"40.71496,",Provisional
TR2,,2021-07-09T00:00:00.000,12:03 PM,W,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,1.7,S,13.00,NW,1,,,,7.81,,,,,,290,,,,132,,,,,,,,,,,,,,,,,,3.19,,,,,7.27,,,,13.06,,27.96,,,,,,,,,,,,,,,,4.77,,,-73.97867,"40.79717,",Provisional
N3C,,2021-07-09T00:00:00.000,11:57 AM,W,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,S,13.00,NW,1,,,,7.74,,,,,,500,,,,250,,,,,,,,,,,,,,,,,,2.91,,,,,6.77,,,,13.78,,27.63,,,,,,,,,,,,,,,,3.94,,,-73.9815,"40.79317,",Provisional
NC0A,,2021-07-09T00:00:00.000,10:31 AM,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,N,13.00,NW,1,,,,7.14,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,1.55,,,,3.64,1.47,,,18.93,25.91,27.01,26.46,,,,,,,,,,,,,,,6.52,5.91,Aeration on,-73.924667,"40.718167,",Provisional
NC2,,2021-07-09T00:00:00.000,10:43 AM,,,,21.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,N,13.00,NW,1,,,,7.25,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,1.37,,,,4.55,2.13,,,19.39,25.87,27.13,26.46,,,,,,,,,,,,,,,5.12,3.60,,-73.9355,"40.72883,",Provisional
J9A,,2021-07-12T00:00:00.000,9:32 AM,W,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,7.00,SW,1,,,,7.61,,,,,,390,,E,,8,,,,,,,,,,,,,,,,,,1.47,,,,,4.11,,,,30.69,,28.94,,,,,,,,,,,,,,,,1.92,,,-73.87367,"40.63383,",Provisional
J18,,2021-07-12T00:00:00.000,10:36 AM,W,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,E,7.00,SW,1,,,,7.68,,,,E,,32,,<,,4,,,,,,,,,,,,,,,,,,3.68,,,,,4.76,,,,30.72,,29.34,,,,,,,,,,,,,,,,1.71,,,-73.84795,"40.61932,",Provisional
J10,,2021-07-12T00:00:00.000,9:45 AM,W,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,7.00,SW,1,,,,7.67,,,,,,180,,E,,12,,,,,,,,,,,,,,,,,,1.71,,,,,4.52,,,,30.90,,28.78,,,,,,,,,,,,,,,,1.22,,,-73.89472,"40.62167,",Provisional
J2,,2021-07-12T00:00:00.000,9:54 AM,W,,,43.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,7.00,SW,1,,,,7.69,,,,,,88,,<,,2,,,,,,,,,,,,,,,,,,1.88,,,,,4.65,,,,31.22,,28.59,,,,,,,,,,,,,,,,0.89,,,-73.88583,"40.60805,",Provisional
J2,D,2021-07-12T00:00:00.000,9:54 AM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,E,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.88583,"40.60805,",Provisional
HC3,,2021-07-12T00:00:00.000,9:21 AM,W,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,E,7.00,SW,1,,,,7.59,,,,,,290,,<,,10,,,,,,,,,,,,,,,,,,2.84,,,,,3.92,,,,29.28,,29.12,,,,,,,,,,,,,,,,1.67,,,-73.86756,"40.63856,",Provisional
J3,,2021-07-12T00:00:00.000,9:37 AM,W,,,42.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,7.00,SW,1,,,,7.63,,,,,,290,,E,,4,,,,,,,,,,,,,,,,,,1.45,,,,,4.33,,,,30.28,,28.81,,,,,,,,,,,,,,,,1.46,,,-73.88283,"40.627,",Provisional
J16,,2021-07-12T00:00:00.000,10:28 AM,W,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,E,7.00,SW,1,,,,7.66,,,,E,,24,,<,,4,,,,,,,,,,,,,,,,,,3.03,,,,,4.67,,,,30.88,,29.27,,,,,,,,,,,,,,,,1.62,,,-73.84761,"40.61143,",Provisional
J14,,2021-07-12T00:00:00.000,10:11 AM,W,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,E,7.00,SW,1,,,,7.73,,,,E,,12,,<,,4,,,,,,,,,,,,,,,,,,4.55,,,,,5.05,,,,31.04,,29.56,,,,,,,,,,,,,,,,1.27,,,-73.82378,"40.60917,",Provisional
J8,,2021-07-13T00:00:00.000,11:07 AM,W,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,E,8.00,NE,1,,,,7.66,,,,,,200,,E,,2,,,,,,,,,,,,,,,,,,3.24,,,,,4.58,,,,30.00,,29.13,,,,,,,,,,,,,,,,1.27,,,-73.82083,"40.64533,",Provisional
J5,,2021-07-13T00:00:00.000,10:13 AM,W,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,1.2,E,6.00,NE,1,,,,7.61,,,,,,196,,E,,4,,,,,,,,,,,,,,,,,,2.20,,,,,4.62,,,,30.25,,28.87,,,,,,,,,,,,,,,,1.10,,,-73.809,"40.59767,",Provisional
J11,,2021-07-13T00:00:00.000,9:37 AM,W,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,E,7.00,NE,1,,,,7.79,,,,,,820,,E,,18,,,,,,,,,,,,,,,,,,3.52,,,,,6.32,,,,31.58,,27.91,,,,,,,,,,,,,,,,0.66,,,-73.93133,"40.58167,",Provisional
N9A,,2021-07-13T00:00:00.000,9:26 AM,W,,,18.00,,,,,,,,,,,,,,,,,,,,,,,,1.1,E,7.00,NE,2,,,,7.83,,,,,,540,,E,,2,,,,,,,,,,,,,,,,,,0.99,,,,,5.89,,,,33.17,,26.96,,,,,,,,,,,,,,,,0.12,,,-73.9355,"40.56783,",Provisional
JA1,,2021-07-13T00:00:00.000,10:35 AM,W,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,E,7.00,NE,2,,,,7.59,,,,,,2000,,E,,10,,,,,,,,,,,,,,,,,,2.00,,,,,3.63,,,,29.35,,29.39,,,,,,,,,,,,,,,,1.34,,,-73.813,"40.643,",Provisional
J12,D,2021-07-13T00:00:00.000,10:26 AM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,E,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.80633,"40.633,",Provisional
J12,,2021-07-13T00:00:00.000,10:26 AM,W,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,E,7.00,NE,1,,,,7.67,,,,,,3700,,E,,8,,,,,,,,,,,,,,,,,,3.29,,,,,4.46,,,,28.83,,29.49,,,,,,,,,,,,,,,,0.96,,,-73.80633,"40.633,",Provisional
BB4,,2021-07-13T00:00:00.000,10:49 AM,W,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,E,6.00,NE,1,,,,7.62,,,,,,8181,,E,,20,,,,,,,,,,,,,,,,,,5.46,,,,,4.13,,,,28.49,,29.51,,,,,,,,,,,,,,,,1.71,,,-73.823320,"40.652640,",Provisional
J1,,2021-07-13T00:00:00.000,9:53 AM,W,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,0.9,E,6.00,NE,2,,,,7.70,,,,,,270,,E,,2,,,,,,,,,,,,,,,,,,1.16,,,,,5.27,,,,32.68,,27.54,,,,,,,,,,,,,,,,0.54,,,-73.88467,"40.57333,",Provisional
J7,,2021-07-13T00:00:00.000,10:42 AM,W,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,E,5.00,NE,1,,,,7.59,,,,,,3400,,E,,12,,,,,,,,,,,,,,,,,,3.10,,,,,3.73,,,,29.17,,29.38,,,,,,,,,,,,,,,,1.53,,,-73.82083,"40.64533,",Provisional
GC5,,2021-07-14T00:00:00.000,9:45 AM,W,,,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.34,,,,,210,270,E,,160,210,,,,,,,,,,,,,,,,,0.49,0.53,,,,4.20,4.18,,,22.28,22.30,27.09,27.09,,,,,,,,,,,,,,,7.06,7.84,,-73.99005,"40.67614,",Provisional
GC3,,2021-07-14T00:00:00.000,9:20 AM,W,,,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32,7.30,,,,E,220,170,E,,160,220,,,,,,,,,,,,,,,,,0.56,0.50,,,,4.22,4.03,,,23.00,23.14,27.03,27.01,,,,,,,,,,,,,,,4.70,4.42,,-73.98824,"40.67943,",Provisional
